keys,ru,en
MAKS_REPLY_TEXT,"Кретин, я разве уже не предупреждал тебя? Все должно быть тихо, так что не гони лошадей.

Жди, когда видимость упадет, осталось недолго.","Moron, didn’t I warn you already? Everything should be quiet, so don’t rush now.

Wait till visibility drops, it should happen soon."
,,
,,
SLOW,Скучный день…,Slow day…
Drink (coffee),Напиток (кофе),
Earmuffs,Меховые наушники,
Water bottle,Термос,Thermos
Clothes,Одежда,
Mirror,Зеркало,
Lipstick,Губная помада,
Cough syrup,Сироп от кашля,
Purse,Кошелек,
Hat,Шапка,
Scarf,Шарф,
Keys,Ключи,
Small purse,Маленький кошелек,
Room keys,Ключи от номера,
Pills,Таблетки,
Car keys,Ключи от машины,
Wallet,Бумажник,
Drink (Cola),Напиток (кола),
Suitcase,Чемодан,
Blinds,Жалюзи,
Duct tape,Изолента,
Scissors,Ножницы,
Rohypnol,Рогипнол,
ROHYPNOL_INSTRUCT,"Действующее вещество:
Флунитразепам

Фармакологическое действие:
Возбуждает бензодиазепиновые рецепторы, потенцирует ГАМКергическую синаптическую передачу.

Показания:
Сильная бессоница. Употреблять 0.5-1 табл Перед сном

Побочные действия:
Усталость, антероградная амнезия, дезориентация перед пробуждением, угнетение дыхания","Active component: 
Flunitrazepam


Pharmacological action:
Stimulates benzodiazepine receptors, potentiates GABAergic synaptic transmission.


Indications for use: 
Severe insomnia. Consume 0.5-1 tabl. before sleep.


Side effects:
Fatigue, headaches, anterograde amnesia, disorientation upon awakening, respiratory depression."
,,
"...so we'll just take some photos and that's it, the pay is very good.","…так что мы просто сделаем фото и все, оплата очень хорошая.",
"Also won't even remember anything, I just need to get the stuff. So can you do it?","И даже ничего не вспомнит, мне только нужно достать препарат. Так ты сможешь?",
"If I ask her to visit me, she'll come, unless it's too far.","Если я попрошу ее навестить меня, то она придет, если это достаточно близко.",
"Good, there's a quiet place to the north of where you're staying.","Отлично, к северу от того места, где ты остановилась, есть тихое местечко.",
I'll call you when it's time.,"Я позвоню, когда придет время.",
"...I need to get back home or my parents will get worried, sorry","...мне нужно возвращаться домой или родители будут волноваться, прости",
How many times do I have to repeat this to you? They are not your parents.,Сколько еще раз тебе еще повторить?! Эти люди тебе не родители,How many times do I have to repeat this to you?! These people are not your parents.
,,
,,
"I'll go start the car, message when it works, I'll help you carry. ","Я пойду заводить машину, напиши, когда сработает, помогу донести",
"Hey, is the party still on? I bought charcoal and lighter fluid","Хей, туса еще в деле? Я купил углей и розжиг",
"Yeah, sure",А как же,
"By the way, don't drive through the southern bridge, it's being repaired now","Да, кстати, не едь по южному мосту, его чинят",
"I never went the other way, give some directions","Я никогда не ездил другим путем, дай указание","I’ve never used a different route, give some dirrections"
"Just go straight then take a left turn for a dirtroad, you can drive fine on it","Едь прямо, потом поворот налево на проселочную дорогу, по ней можно нормально проехать",
Got it,Понял,
SMS_BALANCE,Пополните баланс телефона в ближайшее время или услуги предоставления связи будут приостановлен,"Please replenish your phone balance soon, or your connection services will be suspended"
"I'm arriving, 5th railcar","Я подъезжаю, пятый вагон",
Messages,Сообщения,
Notepad,Блокнот,
Znak,Знак,
filter,фильтр,
"Party on the 1st at my place, spread the word","Вечеринка первого у меня дома, передай остальным",
,,
left the place,покинули место,
and then drove away.,и затем уехали.,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
sh,ши,
,,
се,се,
st,ст,
er,ра,
s,ми,
,,
,,
mak,мак,
sim,сим,
,,
,,
,,
na,м,
m,ил,
es,ии,
,,
ad,уд,
opt,оч,
e,ер,
d,ена,
,,
,,
Sasha,Саша,
sisters,сестрами,
surnames,фамилии,
adopted,удочерена,
,,
Power OFF,Выключить,
hotel,гостинице,
rohypnol,рогипнол,
sashSASHA_POS,сашину,sasha's
cola,колу,
unconscious,сознание,
suitcase,чемодан,
Try Again,Попробовать еще раз,
Give up,Сдаться,
Are you sure?,Вы уверены?,
Yes,Да,
No,Нет,
INTRO_1,"Хех, он и правда крутится","Heh, it really is rotating…"
"Well, it's getting late, time to get serious","Ну, уже поздно, пора браться за дело",
I need to find something to play,"Нужно найти, во что поиграть",
"Download games for free, no registration, search","Скачать игры бесплатно, без регистрации и т.д.; поиск ",
How come I've never heard of it,И как только я никогда о ней не слышал,
"Well, this looks interesting, action-adventure, amazing graphics","Хм, выглядит интересно, открытый мир, хорошая графика","Well, this looks interesting, open world, good graphics"
Guess I'll try it out,Надо попробовать,
,,
In lucem prodeo…,,
"Hello, my dear plaything","Привет, моя новая игрушка","Hello, my new plaything"
"Since you got into my net, let's have some fun, shall we","Раз ты попался в мою сеть, то давай немного повеселимся","Since you got fallen my net, let's have some fun, shall we"
What should I do with you?,Что же мне с тобой сделать?,
"I know, let's have you solve a riddle if you will","Точно, давай ты попробуешь решить загадку","I know, try solving a riddle for me"
All the necessary tools will be right here at your disposal,Я дам тебе все необходимые инструменты,I’ll give you all the tools you need
"I'll give you until sunrise, should be enough time","Даю тебе времени до рассета, этого должно хватить","You’ve got until sunrise, that should be plenty"
Solve it in time and you're free,Реши ее вовремя и будешь свободен,"Solve it in time, and you're free
"
And if you fail...,Ну а если не справишься...,But if you fail...
I'll make you my eternal servant!,То станешь моим слугой навечно!,You’ll become my servant for eternity!
"Good luck, entertain me",Удачи. Повесели меня,Good luck. Entertain me
,,
Congratulations!,Поздравляю!,
You did well!,Ты хорошо справился!,
"And now I have to set you free, how sad...","Но теперь я должна тебя освободить, как грустно...","But now I have to set you free, how sad..."
"Maybe let's have more fun some other time, what do you think?","Может, когда-нибудь еще повеселимся?",
"Anyway, bye-bye for now...","Ну а пока что, vale...","Anyway, vale for now..."
,,
It was fun watching you suffer!,Было весело смотреть за твоими страданиями!,
"Maybe let's try something harder some other time, what do you think?",Может попробуем что-то посложнее в следующий раз?,
You managed it way too fast somehow,Ты справился как-то слишком быстро,
TEXT_TIP,"Спасибо. Анонимное сообщение получено.
Мы рассмотрим информацию в ближайшее время.","Thank you.Anonymous tip received. 
We will review the information promptly."
,,
PROTAG_OUTRO,"Внезапно я задумался, а существовала ли вообще в этом мире справедливость?","Suddenly I started thinking, was there such a thing as justice in this world?"
,,
game by keysole,автор: keysole,
thanks for playing,спасибо за игру,
finish,завершить,
,,
MALLEUS_HELP,"Введите email адрес, чтобы взломать его. Не сработает для всех адресов.

Пароль будет запомнен автоматически","Enter email address to break it's password. Won't work for all addresses.

Password will be remembered automatically."
"Ugh, you've always been so useless",Ты всегда была такой бесполезной,
